avg(acceleration_a (0)),avg(acceleration_a (1)),avg(acceleration_a (Magnitude)),avg(displacement_d (0)),avg(displacement_d (1)),avg(displacement_d (Magnitude)),avg(velocity_v (0)),avg(velocity_v (1)),avg(velocity_v (Magnitude)),Time
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.061520000000e-03
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.123050000000e-03
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.184570000000e-03
-1.314153003539e-156,-1.110445572125e-155,1.118194683327e-155,-3.170840463938e-162,-7.819789920672e-162,8.316801694027e-162,-4.394283640795e-159,-1.234164445582e-158,1.310060763195e-158,1.224610000000e-02
1.445213670561e-152,3.895469231456e-152,4.154915533052e-152,-1.603865025801e-160,4.815897723582e-160,5.075975121159e-160,2.171078554417e-156,8.143397742250e-156,8.427841294064e-156,1.530760000000e-02
-4.133220627511e-152,-7.732191687138e-151,7.743230812406e-151,3.220051014184e-158,7.620924354345e-158,8.273283298574e-158,8.419398366930e-155,9.227267209437e-155,1.249114602490e-154,1.836910000000e-02
9.009647011524e-149,6.017662560288e-149,1.083448208092e-148,2.254631468859e-155,8.560475895125e-156,2.411675877037e-155,4.421315018977e-152,1.903571727388e-152,4.813690041781e-152,2.143070000000e-02
4.693697924760e-146,1.771685490389e-146,5.016938278049e-146,1.696787647452e-152,5.887709412245e-153,1.796034393261e-152,2.839255877143e-149,9.996021835990e-150,3.010079477580e-149,2.449220000000e-02
-5.137404938546e-144,-1.776813829729e-144,5.435990883741e-144,8.111160891153e-151,2.712981964526e-151,8.552847604279e-151,-7.517090302699e-148,-2.680855806209e-148,7.980829184528e-148,2.755370000000e-02
-1.847416070243e-140,-6.229955455819e-141,1.949633192784e-140,-5.367869473788e-147,-1.812861873504e-147,5.665729508195e-147,-1.003855730455e-143,-3.387676774237e-144,1.059476222874e-143,3.061520000000e-02
-7.871082224692e-138,-2.627126419324e-138,8.297935201662e-138,-3.075137638705e-144,-1.029514371533e-144,3.242895517616e-144,-4.975473412503e-141,-1.663449160760e-141,5.246179446889e-141,3.367680000000e-02
2.166498765393e-135,7.499548947764e-136,2.292629329972e-135,2.213000016701e-142,8.109598287254e-143,2.356910035985e-142,8.155358579847e-139,2.862450485596e-139,8.643118438872e-139,3.673830000000e-02
4.022143767076e-132,1.362457786723e-132,4.246637693945e-132,1.207628637556e-138,4.097390728736e-139,1.275246264093e-138,2.218044650745e-135,7.519192186060e-136,2.342030013473e-135,3.979980000000e-02
1.888663268396e-129,6.360710863942e-130,1.992896226183e-129,6.993806947492e-136,2.358769492711e-136,7.380862357377e-136,1.156770578891e-132,3.898721046658e-133,1.220704071503e-132,4.286130000000e-02
1.422714766747e-127,4.564968618364e-128,1.494157519269e-127,1.177452511452e-133,3.903367689202e-134,1.240466529132e-133,1.430720239558e-130,4.698852487175e-131,1.505905890434e-130,4.592290000000e-02
-3.289919222650e-124,-1.125141820911e-124,3.476997642899e-124,-8.707335893492e-131,-2.988811578300e-131,9.206013958966e-131,-1.715626392600e-127,-5.876546141975e-128,1.813480593934e-127,4.898440000000e-02
-2.264503937871e-121,-7.700076378418e-122,2.391838173240e-121,-7.660945964542e-128,-2.607208187780e-128,8.092442622970e-128,-1.322825042375e-124,-4.499903863866e-125,1.397267848544e-124,5.204590000000e-02
-7.780832062566e-119,-2.636530821986e-119,8.215390578734e-119,-3.050346769384e-125,-1.034623145360e-125,3.221034067874e-125,-4.897009413802e-122,-1.660204271344e-122,5.170781316344e-122,5.510740000000e-02
-7.029904688857e-117,-2.311818473432e-117,7.400274629263e-117,-4.952499110909e-123,-1.659321934063e-123,5.223083066965e-123,-6.290494507205e-120,-2.094889942222e-120,6.630149697797e-120,5.816900000000e-02
1.180934817366e-113,4.085340217952e-114,1.249602772817e-113,2.980139165442e-120,1.032515759165e-120,3.153936942667e-120,6.020047663907e-117,2.082782043999e-117,6.370161294545e-117,6.123050000000e-02
1.057595105073e-110,3.621298200607e-111,1.117875401309e-110,3.382199960542e-117,1.160201489862e-117,3.575659948901e-117,6.001539174667e-114,2.057059818369e-114,6.344286213705e-114,6.429200000000e-02
5.178017465025e-108,1.774932616290e-108,5.473778462861e-108,1.848632212091e-114,6.331968234766e-115,1.954067366506e-114,3.103460194680e-111,1.063260936508e-111,3.280547057896e-111,6.735350000000e-02
1.474942464961e-105,5.011778305284e-106,1.557765865834e-105,6.074846969909e-112,2.072193654378e-112,6.418547518641e-112,9.522894705652e-109,3.243846594482e-109,1.006022188142e-108,7.041510000000e-02
1.003204346604e-103,2.055818196165e-104,1.024052169375e-103,8.057662771219e-110,2.629463341329e-110,8.475848441194e-110,9.763365664847e-107,2.932079308489e-107,1.019413547962e-106,7.347660000000e-02
-1.066938721049e-100,-5.898061570760e-101,1.219110141619e-100,-2.692754340727e-107,-1.114993013597e-107,2.914469996393e-107,-5.439153176276e-104,-2.534320896428e-104,6.000597443677e-104,7.653810000000e-02
-3.005157993357e-98,-1.039227114965e-98,3.179774765847e-98,-1.301139771234e-104,-4.280467737597e-105,1.369740393218e-104,-2.006641985539e-101,-6.548712230644e-102,2.110798042667e-101,7.959960000000e-02
9.155537925397e-96,3.581512233931e-96,9.831129364686e-96,1.418661114264e-102,6.178583130948e-103,1.547368169566e-102,3.925166966587e-99,1.587865333653e-99,4.234176665351e-99,8.266120000000e-02
8.754756592595e-93,3.280656536618e-93,9.349249718926e-93,2.937497687480e-99,1.093850263914e-99,3.134549579097e-99,5.114841850139e-96,1.908092449957e-96,5.459159637666e-96,8.572270000000e-02
7.448179547523e-91,4.034800010642e-91,8.470831700489e-91,6.325496341252e-97,2.735506312675e-97,6.891654282527e-97,7.752879140003e-94,3.603808352520e-94,8.549536221409e-94,8.878420000000e-02
-3.545334836875e-87,-1.061953761868e-87,3.700965400799e-87,-8.876484913363e-94,-2.604887165765e-94,9.250806535839e-94,-1.790384614317e-90,-5.332869492374e-91,1.868119920511e-90,9.184570000000e-02
-5.277966422297e-84,-1.712643322551e-84,5.548880671376e-84,-1.507543191408e-90,-4.842480097212e-91,1.583408541369e-90,-2.823526542270e-87,-9.111621396389e-88,2.966903870976e-87,9.490730000000e-02
-6.683339949804e-81,-2.208128744867e-81,7.038669294586e-81,-1.923250530796e-87,-6.338407153715e-88,2.025005347318e-87,-3.584703412110e-84,-1.183124741855e-84,3.774901681843e-84,9.796880000000e-02
-9.255290214487e-78,-3.156976605044e-78,9.778900666188e-78,-2.606529232146e-84,-8.814756535917e-85,2.751543924037e-84,-4.908441236530e-81,-1.666374801464e-81,5.183589523816e-81,1.010300000000e-01
-1.604232302785e-74,-6.589813763460e-75,1.734306125132e-74,-4.256722611667e-81,-1.535341934068e-81,4.525147759707e-81,-8.222697108722e-78,-3.106897078610e-78,8.790082889192e-78,1.040900000000e-01
-3.406494555379e-71,-1.185190101217e-71,3.606782601135e-71,-8.921574373521e-78,-3.103055144606e-78,9.445816033183e-78,-1.742500514284e-74,-6.058915352149e-75,1.844834029046e-74,1.071500000000e-01
-8.138862056774e-68,-2.857240104341e-68,8.625827299050e-68,-2.121867882515e-74,-7.423677731800e-75,2.247984257397e-74,-4.156047885442e-71,-1.456505060842e-71,4.403877952254e-71,1.102100000000e-01
-1.782409888305e-64,-6.213575451243e-65,1.887609654778e-64,-4.731865814932e-71,-1.649305548058e-71,5.011064046824e-71,-9.187442851281e-68,-3.202249228757e-68,9.729517268016e-68,1.132800000000e-01
-3.341387742951e-61,-1.164424784456e-61,3.538468189400e-61,-9.101958029513e-68,-3.172021447011e-68,9.638846405629e-68,-1.744880478855e-64,-6.080773173390e-65,1.847800289358e-64,1.163400000000e-01
-5.237433969898e-58,-1.824527780566e-58,5.546135249983e-58,-1.468947415906e-64,-5.117706509590e-65,1.555543541621e-64,-2.775440707440e-61,-9.669055333037e-62,2.939043625203e-61,1.194000000000e-01
-6.829068597218e-55,-2.378534172542e-55,7.231431581330e-55,-1.975883296454e-61,-6.882149041360e-62,2.092308427427e-61,-3.675868066743e-58,-1.280308115471e-58,3.892453585419e-58,1.224600000000e-01
-7.400942198400e-52,-2.576948829828e-52,7.836747456414e-52,-2.212583658654e-58,-7.704500457384e-59,2.342887047965e-58,-4.049697731559e-55,-1.410116142174e-55,4.288179013453e-55,1.255200000000e-01
-6.667197469151e-49,-2.320937349307e-49,7.059622672074e-49,-2.062827582222e-55,-7.181248230590e-56,2.184252937613e-55,-3.711638426952e-52,-1.292092576416e-52,3.930109799796e-52,1.285800000000e-01
-4.992861122476e-46,-1.737580234952e-46,5.286572354677e-46,-1.601489918535e-52,-5.573708840585e-53,1.695709957972e-52,-2.830330119970e-49,-9.850200878435e-50,2.996837193019e-49,1.316500000000e-01
-3.107715657145e-43,-1.081222764644e-43,3.290431472079e-43,-1.035330908290e-49,-3.602289515757e-50,1.096209371979e-49,-1.795571916631e-46,-6.247259306994e-47,1.901147284216e-46,1.347100000000e-01
-1.607046853713e-40,-5.589417645852e-41,1.701474503549e-40,-5.572036353659e-47,-1.938129692043e-47,5.899486064876e-47,-9.473531498113e-44,-3.295077664982e-44,1.003022112737e-43,1.377700000000e-01
-6.899215853199e-38,-2.398799533191e-38,7.304342447439e-38,-2.495173474181e-44,-8.676198011879e-45,2.641714364890e-44,-4.154278527532e-41,-1.444465967354e-41,4.398239649583e-41,1.408300000000e-01
