avg(acceleration_a (0)),avg(acceleration_a (1)),avg(acceleration_a (Magnitude)),avg(displacement_d (0)),avg(displacement_d (1)),avg(displacement_d (Magnitude)),avg(velocity_v (0)),avg(velocity_v (1)),avg(velocity_v (Magnitude)),Time
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
7.464308230812e-88,7.534000197919e-88,1.060552008846e-87,1.215049191014e-93,1.393991764918e-93,1.849204579608e-93,1.471378434250e-90,1.627456847015e-90,2.193985024031e-90,3.532330000000e-03
4.207766734223e-47,2.572791864991e-47,4.931993397218e-47,2.197452260097e-53,1.732487947532e-53,2.798269272917e-53,3.554954212622e-50,2.710262946999e-50,4.470260025514e-50,7.064660000000e-03
-1.775601182792e-46,-3.166709749263e-46,3.630538554596e-46,3.378846132481e-52,-8.242756962338e-53,3.477934963507e-52,3.755623466091e-49,-1.949463185958e-49,4.231443528213e-49,1.059700000000e-02
7.323163257159e-45,2.876453443258e-45,7.867827177959e-45,1.345164647124e-50,5.210110890306e-51,1.442539594869e-50,1.185184564102e-47,4.823593777863e-48,1.279583143185e-47,1.412930000000e-02
2.762514952079e-44,1.104355490744e-44,2.975078135175e-44,1.431520501059e-49,5.664026275064e-50,1.539500854628e-49,7.494050068697e-47,2.958080692322e-47,8.056738038091e-47,1.766170000000e-02
9.685447492179e-44,3.571416310253e-44,1.032293115277e-43,7.357263863717e-49,2.833343363685e-49,7.883981619518e-49,3.056572389209e-46,1.150054430501e-46,3.265770960063e-46,2.119400000000e-02
2.371871302666e-43,7.976307644948e-44,2.502396513920e-43,2.735775603537e-48,1.014729384122e-48,2.917900593905e-48,9.192577707257e-46,3.288589143309e-46,9.763109312993e-46,2.472630000000e-02
5.240331314370e-43,1.807617617007e-43,5.543334171208e-43,8.132716008707e-48,2.931320446863e-48,8.644866062610e-48,2.317355447746e-45,8.123522132392e-46,2.455616498876e-45,2.825860000000e-02
1.009020987756e-42,3.279524234738e-43,1.060978862086e-42,2.079402118902e-47,7.259809089855e-48,2.202489830239e-47,5.148802165927e-45,1.735608539907e-45,5.433461212492e-45,3.179100000000e-02
1.836843954121e-42,5.755050639510e-43,1.924890072297e-42,4.733202831144e-47,1.603997054503e-47,4.997600983633e-47,1.039724625381e-44,3.392219920263e-45,1.093663045228e-44,3.532330000000e-02
3.155747048604e-42,9.420117682571e-43,3.293345655456e-42,9.859266011021e-47,3.247043339585e-47,1.038019348207e-46,1.944744126278e-44,6.148878988372e-45,2.039636449181e-44,3.885560000000e-02
-7.502483769092e-43,-6.098416803571e-43,9.668399568469e-43,1.907786461016e-46,6.118617754988e-47,2.003502935649e-46,2.972343463542e-44,8.924342298469e-45,3.103427866064e-44,4.238800000000e-02
3.002669566711e-40,1.060507993108e-40,3.184446848402e-40,3.166926800359e-46,9.534644932196e-47,3.307343329421e-46,2.585989932426e-43,8.727684163529e-44,2.729298195359e-43,4.592030000000e-02
-6.945046597125e-39,-2.425628323837e-39,7.356449211517e-39,7.320908635614e-45,2.607326381533e-45,7.771348281402e-45,-1.480776265945e-42,-4.789205834047e-43,1.556297939019e-42,4.945260000000e-02
-1.472999041685e-38,-3.171733193728e-40,1.473340478624e-38,-3.315997047424e-43,-9.269777834411e-44,3.443127100402e-43,-1.960262735673e-40,-4.455856333739e-41,2.010267780555e-40,5.298500000000e-02
6.411215712486e-36,1.779969140911e-36,6.653719039351e-36,6.547624887951e-42,1.864709420525e-42,6.807975682705e-42,9.490539620674e-39,2.843439717207e-39,9.907345341562e-39,5.651730000000e-02
3.795968583297e-35,1.133887801122e-35,3.961701532286e-35,1.387332545988e-40,4.851588902458e-41,1.469717912370e-40,8.685829344594e-38,2.915255603220e-38,9.162005601151e-38,6.004960000000e-02
1.067298616973e-34,3.378506498509e-35,1.119495153807e-34,8.283117939175e-40,2.734572203598e-40,8.722839442004e-40,3.490245307292e-37,1.123760527556e-37,3.666694700731e-37,6.358200000000e-02
2.540745291132e-34,7.728215230866e-35,2.655680654928e-34,3.071725246456e-39,9.800655763875e-40,3.224286668976e-39,1.013802386093e-36,3.159822889699e-37,1.061903990477e-36,6.711430000000e-02
4.964155336213e-34,1.476144153258e-34,5.178980571816e-34,8.865435424425e-39,2.767919049611e-39,9.287481958521e-39,2.415880059429e-36,7.383772946947e-37,2.526198228736e-36,7.064660000000e-02
8.507070673135e-34,2.476435710380e-34,8.860191040003e-34,2.136233945000e-38,6.541711019146e-39,2.234152031163e-38,4.877111924188e-36,1.460244449936e-36,5.091024904145e-36,7.417890000000e-02
1.345887406273e-33,3.805027576494e-34,1.398640503826e-33,4.523320523108e-38,1.360590762166e-38,4.723519426959e-38,8.936424059384e-36,2.619857786524e-36,9.312536163191e-36,7.771130000000e-02
2.761833791181e-33,8.163408906898e-34,2.879954572545e-33,8.739946370173e-38,2.586606421023e-38,9.114669238693e-38,1.593431579933e-35,4.640283088178e-36,1.659622388170e-35,8.124360000000e-02
-2.229796453608e-32,-8.811223604883e-33,2.397575616884e-32,1.388634040051e-37,3.878656281199e-38,1.441785088932e-37,-6.911839281040e-36,-5.119764051630e-36,8.601482790269e-36,8.477590000000e-02
6.493182733811e-31,2.316110508584e-31,6.893895118337e-31,7.446844160976e-37,2.538060632078e-37,7.867479884306e-37,8.849528082911e-34,3.213213898014e-34,9.414822932197e-34,8.830830000000e-02
-1.324876335624e-29,-4.884090978759e-30,1.412034260060e-29,-7.623510390091e-36,-2.827568686637e-36,8.130993502978e-36,-1.649115072519e-32,-6.081647324981e-33,1.757681673189e-32,9.184060000000e-02
1.905179509595e-28,6.959696206846e-29,2.028320161290e-28,4.138783423208e-35,1.618162125838e-35,4.443869585138e-35,2.029259380335e-31,7.490267368102e-32,2.163084530279e-31,9.537290000000e-02
-1.362625446498e-27,-5.093574001050e-28,1.454714084790e-27,1.320102843955e-33,4.614907988656e-34,1.398443876620e-33,-7.236844738264e-31,-2.850766912788e-31,7.778097052415e-31,9.890530000000e-02
-7.908052453653e-28,-8.832446814569e-28,1.185535365740e-27,-1.961463725507e-32,-7.139135196402e-33,2.087345793108e-32,-9.222560662403e-30,-3.605826515598e-30,9.902404255143e-30,1.024400000000e-01
3.908440199701e-27,-1.851164367818e-27,4.324663491108e-27,-2.368433755160e-32,7.528267481370e-35,2.368445719748e-32,1.405639344239e-30,5.619204381937e-30,5.792346661938e-30,1.059700000000e-01
-9.643804635139e-26,-3.279274364937e-26,1.018609877241e-25,-2.839854742432e-31,-7.510931134321e-32,2.937501629473e-31,-2.064374319152e-28,-6.711314624347e-29,2.170727705044e-28,1.095000000000e-01
-9.689505799288e-26,-3.080979570575e-26,1.016754433227e-25,-1.592244341316e-30,-4.870823300459e-31,1.665079949640e-30,-5.381600258884e-28,-1.685680095692e-28,5.639427163412e-28,1.130300000000e-01
-1.567453957622e-25,-4.802270931215e-26,1.639368771885e-25,-4.265294588146e-30,-1.316188805892e-30,4.463753005760e-30,-1.010930421398e-27,-3.102240613535e-28,1.057458881068e-27,1.165700000000e-01
-2.656365631799e-25,-8.332427644937e-26,2.783984891192e-25,-9.056324909336e-30,-2.779583120759e-30,9.473283653975e-30,-1.759943644049e-27,-5.386509441443e-28,1.840528856024e-27,1.201000000000e-01
1.720435887338e-25,1.686774577130e-25,2.409379197322e-25,-1.980836580133e-29,-6.181140877785e-30,2.075037007551e-29,-4.182852748903e-27,-1.312940780829e-27,4.384070096722e-27,1.236300000000e-01
-2.223532076594e-23,-5.764894148141e-24,2.297049181240e-23,3.823942437474e-29,1.781856679031e-29,4.218714139371e-29,2.248769026920e-26,1.181103972480e-26,2.540072583656e-26,1.271600000000e-01
5.742539060939e-22,1.286208598026e-22,5.884818384968e-22,-1.446219953817e-27,-5.388164823842e-28,1.543332548904e-27,-4.000220444210e-25,-2.128545360094e-25,4.531276746377e-25,1.307000000000e-01
-1.080397237949e-20,-3.936913143115e-21,1.149891752615e-20,2.243228915496e-26,7.902200002361e-27,2.378344721879e-26,4.724056116086e-24,1.626772993925e-24,4.996308293299e-24,1.342300000000e-01
1.064785553807e-19,3.175871741778e-20,1.111139005164e-19,-3.129858493245e-25,-1.118285020958e-25,3.323638905753e-25,-9.050580448582e-23,-3.451789825319e-23,9.686478176016e-23,1.377600000000e-01
-3.455862475253e-19,-7.704576458395e-20,3.540704793102e-19,3.742797922577e-24,1.355768817487e-24,3.980784517620e-24,1.877198110958e-21,6.840582688970e-22,1.997951066225e-21,1.412900000000e-01
